word,color,zgodny,correctANS,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr_image.started,instr_image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,remind.started,remind.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,target.started,target.stopped,fix.started,fix.stopped,response.keys,response.rt,response.started,response.stopped,key_remind.started,key_remind.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,22.601168200024404,None,space,6.00961109995842,22.601168200024404,None,,,,,,,,,,,,,,,,,001,001,2021_Jun_20_2120,stroop,2021.1.4,60.197375170948185,
,,,,,,,,,,,,,,,,,,28.63446249999106,None,space,5.536331499926746,28.63446249999106,None,,,,,,,,,,,001,001,2021_Jun_20_2120,stroop,2021.1.4,60.197375170948185,
zielony,green,1,x,0,0,0,2,,,,,,,,,,,,,,,,,35.017150299972855,None,34.22573419997934,35.03356769995298,x,1.569348999997601,34.717023300006986,None,34.22573419997934,None,001,001,2021_Jun_20_2120,stroop,2021.1.4,60.197375170948185,
AAAAAA,red,None,m,0,1,1,9,,,,,,,,,,,,,,,,,37.11758570000529,None,36.32289219996892,37.13339929992799,n,3.584030899917707,36.81744469993282,None,36.32289219996892,None,001,001,2021_Jun_20_2120,stroop,2021.1.4,60.197375170948185,
żółty,red,0,m,0,2,2,7,,,,,,,,,,,,,,,,,41.216874299920164,None,40.43293240002822,41.23321059998125,m,2.039541900041513,40.916872999980114,None,40.43293240002822,None,001,001,2021_Jun_20_2120,stroop,2021.1.4,60.197375170948185,
niebieski,blue,1,z,0,3,3,4,,,,,,,,,,,,,,,,,43.766582599957474,None,42.98036579997279,43.78307619993575,z,1.4652706999331713,43.46600319992285,None,42.98036579997279,None,001,001,2021_Jun_20_2120,stroop,2021.1.4,60.197375170948185,
HHHHHH,yellow,None,n,0,4,4,8,,,,,,,,,,,,,,,,,45.73296950000804,None,44.94745670002885,45.74910060002003,n,1.3949215000029653,45.43278879998252,None,44.94745670002885,None,001,001,2021_Jun_20_2120,stroop,2021.1.4,60.197375170948185,
czerwony,green,0,x,0,5,5,1,,,,,,,,,,,,,,,,,47.632711899932474,None,46.84702019998804,47.649021000019275,x,1.1051906000357121,47.33220119995531,None,46.84702019998804,None,001,001,2021_Jun_20_2120,stroop,2021.1.4,60.197375170948185,
czerwony,red,1,m,0,6,6,0,,,,,,,,,,,,,,,,,49.24855050002225,None,48.465189400012605,49.26518099999521,m,0.8568471000762656,48.94848659995478,None,48.465189400012605,None,001,001,2021_Jun_20_2120,stroop,2021.1.4,60.197375170948185,
zielony,blue,0,z,0,7,7,3,,,,,,,,,,,,,,,,,50.61591279995628,None,49.82814450003207,50.63232029997744,z,1.949328999966383,50.315377500024624,None,49.82814450003207,None,001,001,2021_Jun_20_2120,stroop,2021.1.4,60.197375170948185,
